No,KSP,KPR,PRD,RVT,RCM,Y
1,6.666666667,0,0,1.666666667,2.5,10
2,6.333333333,7,5.333333333,6.166666667,5.5,7
3,4.666666667,5.5,6.333333333,6.166666667,3,4
4,8.333333333,9,7,8,9,3
5,7,7.5,6.666666667,7.666666667,6,5
6,6,5.75,6,5.333333333,6,6
7,10,10,10,7.5,4.5,10
8,8,7.75,7,7.5,7,9
9,6.666666667,7.75,7.333333333,7.333333333,7,7
10,8,2.75,6.666666667,5.666666667,5,8
11,10,6.25,10,9.166666667,10,10
12,9.333333333,2.5,9,4.666666667,7.5,10
13,8,7,9,9,6.5,10
14,10,5.75,5.666666667,5.833333333,5,8
15,5,4,4.666666667,5.166666667,5,6
16,9,0,7.666666667,3,5,10
17,6.666666667,0,0,1.666666667,5,10
18,7.666666667,5.5,8.333333333,6.166666667,7.5,8
19,5,2.75,7,4.666666667,5.5,8
20,7,7,7,7,7,10
21,10,7,8,7.666666667,8.5,10
22,6.333333333,2.75,5,3.5,5,8
23,6.666666667,0,0.333333333,3.166666667,3.5,10
24,5.666666667,1,1.666666667,3.5,2,10
25,10,0,0,4.833333333,4,9
26,8.666666667,8.25,10,9.166666667,9,10
27,8.666666667,2,8,6,6,10
28,9,3,0,3,2,10
29,7.333333333,2,1.333333333,5.666666667,6.5,7
30,5.666666667,4.75,5.666666667,5.166666667,4,4
31,7,3.75,6.333333333,4.5,6,6
32,5,2.25,2,4,3,6
33,4.666666667,0.25,5.666666667,3,2.5,6
34,9,7.5,7.666666667,8.333333333,8,8
35,6.333333333,6,5.666666667,6.5,6,8
36,2.666666667,4.75,6,6.166666667,4,0
37,6.333333333,0,0,0,0,6
38,9.666666667,3,3,5.833333333,5,10
39,6.666666667,0,0,0,0,10
40,6,3.25,5.333333333,2.333333333,1.5,10
41,6,1.25,5,4.333333333,5,6
42,6.666666667,2.25,3.333333333,6.666666667,5.5,8
43,6.666666667,0,0,0.833333333,0,10
44,7,4.25,7,5.666666667,4.5,8
45,8,3,2.666666667,3,3.5,8
46,8.333333333,7,7.666666667,8,7.5,7
47,5,3,4.333333333,5.833333333,4.5,9
48,5.666666667,3,8.333333333,4.166666667,6,9
